페이지,투표소,유형,이재명_a,이재명_b,이재명_계,김문수_a,김문수_b,김문수_계,이준석_a,이준석_b,이준석_계,권영국_a,권영국_b,권영국_계,송진호_a,송진호_b,송진호_계,무효_a,무효_b,무효_계
2,관외투표,Out-of-district voting,1227,13,1240,375,0,375,209,39,248,44,1,45,1,1,2,0,0,0
3,관내사전,In-district advance voting,19900,452,20352,7679,280,7959,4520,128,4648,354,9,363,37,5,42,0,308,308
4,투표함 1,Ballot box 1,1862,49,1911,624,14,638,362,14,376,25,1,26,4,1,5,0,27,27
5,투표함 2,Ballot box 2,1865,56,1921,616,28,644,370,14,384,29,0,29,1,0,1,0,21,21
6,투표함 3,Ballot box 3,1873,25,1898,610,14,624,402,12,414,28,0,28,4,0,4,0,32,32
7,투표함 4,Ballot box 4,1106,39,1145,537,23,560,361,3,364,34,2,36,5,0,5,0,24,24
8,투표함 5,Ballot box 5,1796,24,1820,598,16,614,357,7,364,24,2,26,4,0,4,0,24,24
9,투표함 6,Ballot box 6,1859,38,1897,669,15,684,350,5,355,27,1,28,5,2,7,0,21,21
10,투표함 7,Ballot box 7,1649,43,1692,787,29,816,428,11,439,22,0,22,3,0,3,0,28,28
11,투표함 8,Ballot box 8,1673,28,1701,747,18,765,455,12,467,35,0,35,3,0,3,0,29,29
12,투표함 9,Ballot box 9,1658,75,1733,714,50,764,398,24,422,47,3,50,1,0,1,0,33,33
13,투표함 10,Ballot box 10,1632,25,1657,764,24,788,473,9,482,42,3,45,3,0,3,0,29,29
14,투표함 11,Ballot box 11,1613,26,1639,770,30,800,473,18,491,33,0,33,3,1,4,0,25,25
15,투표함 12,Ballot box 12,364,11,375,187,5,192,91,1,92,8,0,8,1,0,1,0,6,6
16,관내선거일,In-district election day,4044,301,4345,1760,104,1864,584,18,602,66,0,66,11,0,11,0,82,82
17,역기역,Yeokgi Station,606,11,617,296,4,300,77,0,77,5,0,5,1,0,1,0,6,6
18,역등역,Yeokdeung Station,563,8,571,293,5,298,68,0,68,8,0,8,2,0,2,0,7,7
19,발전면,Baljeon-myeon,1107,18,1125,619,14,633,173,2,175,14,0,14,6,0,6,0,22,22
20,금남면,Geumnam-myeon,1167,24,1191,686,22,708,136,1,137,14,0,14,2,0,2,0,21,21
21,광군면,Gwanggun-myeon,942,12,954,462,13,475,91,0,91,4,0,4,1,0,1,0,8,8
22,역사역,Yeoksa Station,1540,19,1559,643,14,657,198,2,200,26,1,27,3,0,3,0,18,18
23,전의면,Jeonui-myeon,958,16,974,502,25,527,90,1,91,11,1,12,5,0,5,0,25,25
24,전동면,Jeondong-myeon,536,16,552,326,7,333,47,2,49,11,1,12,4,2,6,0,29,29
25,소정면,Sojeong-myeon,345,9,354,245,8,253,34,1,35,8,1,9,0,0,0,0,3,3
26,한솔동,Hansol-dong,2604,34,2638,912,9,921,296,5,301,45,0,45,1,0,1,0,16,16
27,도담동,Dodam-dong,4238,39,4277,1287,14,1301,578,11,589,65,1,66,4,1,5,0,35,35
28,아름동,Areum-dong,4107,49,4156,996,7,1003,524,3,527,70,0,70,3,0,3,0,40,40
29,종촌동,Jongchon-dong,4227,40,4267,1142,14,1156,555,7,562,69,0,69,3,0,3,0,48,48
30,고운동,Goun-dong,4286,29,4315,980,6,986,387,6,393,56,1,57,1,0,1,0,50,50
31,새롬동,Saerom-dong,4185,22,4207,1052,10,1062,611,8,619,68,1,69,5,0,5,0,46,46
32,보람동,Boram-dong,3771,41,3812,972,14,986,530,7,537,69,1,70,3,0,3,0,107,107
33,단업동,Daneop-dong,2150,29,2179,597,16,613,287,3,290,33,0,33,1,0,1,0,11,11
34,소담동,Sodam-dong,4102,44,4146,1060,15,1075,546,7,553,68,1,69,1,1,2,0,38,38
35,다정동,Dajeong-dong,4315,22,4337,1156,15,1171,588,9,597,81,1,82,2,0,2,0,241,241
