페이지,투표소,이재명(a),이재명(b),이재명 계,김문수(a),김문수(b),김문수 계,이준석(a),이준석(b),이준석 계,권영국(a),권영국(b),권영국 계,송진호(a),송진호(b),송진호 계,무효(a),무효(b),무효 계
2,관외투표,1227,13,1240,375,0,375,209,39,248,44,1,45,1,1,2,0,0,0
3,관내사전,19900,452,20352,7679,280,7959,4520,128,4648,354,9,363,37,5,42,0,308,308
4,투표함 1,1862,49,1911,624,14,638,362,14,376,25,1,26,4,1,5,0,27,27
5,투표함 2,1865,56,1921,616,28,644,370,14,384,29,0,29,1,0,1,0,21,21
6,투표함 3,1873,25,1898,610,14,624,402,12,414,28,0,28,4,0,4,0,32,32
10,투표함 7,1649,43,1692,787,29,816,428,11,439,22,0,22,3,0,3,0,28,28
20,관내,1167,24,1191,586,22,608,186,1,187,14,0,14,2,1,3,0,20,20
30,교촌동,4286,49,4335,980,13,993,387,6,393,56,0,56,1,0,1,0,24,24
40,초전동/관내1투,359,8,367,621,14,635,66,3,69,4,1,5,1,0,1,0,10,10
60,장군면/제1투,283,10,293,490,32,522,69,2,71,6,0,6,0,0,0,0,9,9
70,장동면/제1투,147,6,153,303,13,316,26,1,27,1,0,1,0,0,0,0,4,4
90,종촌동/제4투,671,9,680,596,13,609,124,3,127,19,1,20,2,0,2,0,5,5
110,소담동/제4투,634,3,637,667,8,675,144,1,145,21,0,21,1,0,1,0,12,12
120,반곡동/제3투,1257,9,1266,755,8,763,252,5,257,24,1,25,2,0,2,0,13,13
